code,ANALYSE 1,ANALYSE 2,ALGEBRE 2,PROCE FABRIC/DESSIN TECHN,ANALYSE DES CIRCUI /OPTIQ,ALGEBRE 1,CHIMIE,ELECTRICITE,THERMODYNAMIQUE,LANGUES,TECHNI D'EXPRESS & COMMU1,Mécanique du point
7626750,7,7.8,11.05,10.512,13.361,12.65,12.844,10,13.16,13.9,13,9.43
7626751,13.6,13.8,19,10.54,15.475,19.5,16.479,12.72,16.33,14.48,12.92,11.39
7626752,5,5,11.7,8.1,8.676,13.8,13.034,10.684,14.28,12.64,11.88,7.27
7626755,5.8,6.8,16.05,12.81,15.26,14,14.492,12.056,7.1,14.44,14.6,8.95
7626756,10.6,10.2,13.2,12.608,10.936,17.85,15.591,11.264,13.58,13.52,13.64,9.07
7626757,10.2,11,9.7,5.9,7.382,11.7,8.195,10,7.24,13.38,11.2,10.045
7626758,11,7.2,10.35,10.088,11.715,14.3,9.152,10,7.54,11.92,10.59,6.495
7626763,5.6,8.6,8.95,8.172,11.396,10,8.531,10.288,11.06,13.76,13.8,9.11
7626764,5,11.6,10.7,8.58,12.183,5.5,10.423,7.18,5,13,10.32,7.58
7626765,10.2,10,10.2,8.172,12.493,13.25,12.806,11.08,13.44,9.32,11.88,6.275
7626766,8.4,7.8,11.8,8.46,12.248,13.15,8.7,12.184,13.02,12.12,12.4,11.125
7626767,12.8,11.6,10.05,8.144,11.028,12.45,8.073,8.576,12.3,11.04,11.24,8.37
7626768,12,8.8,16.8,8.608,14.974,16.6,15.779,10.976,16.96,14.9,14.56,11.31
7626769,13,9.6,16.05,9.428,15.063,16.25,14.106,10.288,12.02,14.9,13.54,11.275
7626770,8.4,10.8,8.85,12.92,12.249,11.8,11.585,12.116,11.46,11.76,11.24,9.215
7626771,5.6,7.4,10.5,10.84,11.797,14.75,12.446,9.608,10.78,14.42,13.3,8.21
7626772,5.4,6.6,10.9,8.892,10,14.5,11.67,10.32,12.74,12.92,12.73,6.6
7626773,9.8,12.8,10,7.98,12.284,15.4,14.383,8.744,11.48,13.26,12.92,9.24
7626774,9.2,11.55,13.6,9.86,13.302,15.5,13.264,9.184,14.14,12.94,12.68,8.785
7626775,7,3,9.75,8.68,11.388,14.35,13.442,11.58,11.46,14.8,14.16,6.905
7626776,9.4,11,15.8,11.78,12.733,14.55,14.165,12.924,13.15,13.46,12.92,10.275
7626779,5.2,5.4,8.8,9.152,8.876,10.7,6.944,9.24,12.18,13.64,11.07,9.89
7626780,11.8,14.8,17.1,7.002,13.338,16.45,14.32,12.656,14.84,13.32,13.96,11.98
7626781,7.8,8.6,11.2,10,11.919,15.75,11.522,11.616,6.96,13.78,13.32,8.605
7626782,10.4,12,15.15,15.312,14.596,17.3,15.056,12.016,15.54,13.7,12.8,11.33
7626784,9.2,8.2,10,8.928,11.417,10.65,12.452,11.648,13.86,11.92,13,6.55
7626785,17.6,15.6,14.6,9.66,15.401,18.3,17.215,12.728,16.24,15.48,15.84,11.305
7626787,7.6,6.6,10.6,8.964,8.854,11.65,10.014,10,8.24,12.64,11.28,7.165
7626790,13,14.4,12.95,10.158,13.324,16.6,12.713,10.744,14.42,12.04,12.28,9.14
7626792,5,6.8,8.1,8.56,7.671,13.4,9.647,10,9.22,13.22,12.94,6.35
7626793,7,9.8,10.45,8.788,12.729,10.95,11.287,12.352,13.16,13.34,13.08,7.91
7626794,8,5.4,11.05,11.47,12.916,11.2,12.228,11.056,12.42,13,14.16,9.01
7626795,6,5,10.7,11.26,12.913,13.35,12.456,11.324,13,13.28,13.96,7.96
7626799,12.8,8.2,15.5,10.052,13.099,17.3,12.162,10.84,11.06,12.48,12.96,7.825
7626804,3,3.8,6.1,8.32,10.568,9.25,9.904,8.792,5.26,13.58,13.36,6.17
7626806,9.4,11,13.2,7.372,12.075,15.2,12.231,8.776,12.74,12.28,11.48,8.225
7626808,10.2,10.4,13.7,11.572,13.941,16.15,16.146,16.264,13.3,14.22,12.44,10.82
7626814,10.4,5.4,11.5,8.788,10.491,13.3,10.092,10.576,11.89,12.68,12.04,8.87
7626822,10,3.2,6.45,7.764,9.291,7,8.611,9.34,6.7,11.8,11.36,6.135
7626827,9.6,8,9,10.664,12.951,17.3,12.321,12.912,13.6,13.14,12.52,11.265
7626829,3,5,9.9,9.12,11.211,9.75,12.44,10.504,13.14,13.56,11.68,8.42
7626830,5,10.4,10.9,7.752,10.681,13.6,10.271,10.16,8.94,12.74,11.68,7.6
7626831,12.4,15.6,17.7,12.804,15.246,16.95,14.231,11.856,13.86,14.7,13.6,11.045
7626837,6.8,7.8,8.8,9.124,11.474,10,9.766,11.488,11.34,12.94,11.3,7.87
7626848,10.2,12,13.1,9.82,14.361,14.4,12.492,11.416,13.72,12.48,11.08,9.79
7626849,8.8,5.2,8.05,7.5,12.451,11.8,12.284,11.256,12.16,13.36,12.53,9.935
7626850,5.6,8.6,12.05,10,12.232,14.8,11.551,9.312,10.48,15.14,14.11,7.505
7626851,2.8,3.4,3.15,6.68,8.215,9.9,11.014,9.88,6.56,11.76,12.44,5.565
7626852,9.8,11.6,13.75,11.87,13.161,17.45,10.941,11.384,11.76,12.64,12.72,10.675
7626853,7.6,5,10.9,10.78,12.994,15.05,11.898,12.824,14.01,13.84,14.16,11.59
7626854,6.4,10,9.15,11.14,11.292,14.25,12.881,14.16,14.42,12.36,13.32,9.3
7626855,7.6,9.4,5.2,12.9,10,8.7,10.202,13.256,10.08,14.4,14.81,8.85
7626856,8.4,7.8,10.1,12.368,12.221,13.4,8.505,8.44,10.2,13.88,15.46,7.75
7626857,10.2,8.8,10.5,7.952,14.665,13.1,14.611,11.712,7.54,11.94,14,7.91
7626859,9.4,8.8,9.5,7.496,11.544,10.3,10.624,12.576,7.96,12.08,12.14,9.82
7626860,5,6.4,11.45,12.11,12.519,11.05,12.97,10.552,12.18,12.4,14.36,8.805
7626861,5,7,5.3,9.324,10.289,13.05,9.347,10,11.06,13.32,12.2,5.585
7626863,6,6.6,8,8.752,10.59,13.33,11.324,10.052,8.1,12.54,10.16,4.53
7626864,7.6,5,11.5,9.4,12.118,11.55,11.035,9.848,14.58,13.74,15.4,9.615
7626865,6.2,5.6,11.9,8.636,10.789,12.6,8.142,8.176,12.32,13.14,11.94,7.51
7626867,10,12.8,8.85,8.308,11.191,9.6,9.02,7.66,7.22,12.32,8.84,7.675
7626869,7.8,10,12,9.822,12.154,16.45,12.855,10.144,8.1,13.36,12.28,9.42
7626871,13.8,14.2,14.6,10.354,15.202,17.4,12.08,13.392,11.76,12.84,10.88,11.895
7626872,10.6,12,11.8,8.338,12.717,12.75,13.948,11.184,14,12.5,9.12,7.795
7626882,6.2,8.8,5,11.13,10.696,13.1,8.39,8.296,6.56,13.94,12.64,9.5
7626883,18.8,12.4,14.3,9.048,14.811,14.45,15.66,12.12,12.3,12.56,12.8,10.77
7626884,13.6,11.4,11.1,9.83,14.179,15.5,11.53,12.624,10.46,13.7,13.6,10.12
7626885,5.2,5.6,6.25,10.44,10.007,14.35,9.093,9.248,13.86,12.88,9.24,6.825
7626886,8,12.6,11.4,8.47,11.075,14.1,14.868,9.312,11.11,13.72,13.04,9.43
7626887,10,10.4,13.05,11.912,8.663,14.95,10.761,11.212,10.77,12.72,12.32,7.045
7626888,7,6,11.95,8.388,12.545,13,11.426,10.792,11.62,12.54,11.8,8.695
7626889,2.6,7,5,8.016,9.453,10.8,10.297,11.704,7.94,14.26,14.2,8.425
7626891,7.8,7.4,12.2,9.84,12.692,14.9,12.439,9.82,12.14,14.08,13.88,10.58
7626893,6.6,10.8,11.7,7.632,10.679,11.25,11.218,8.88,10.48,14.76,14.6,9.81
7626895,12.2,10.6,15.9,10.23,14.144,14.5,14.433,9.544,13.16,14.12,13.92,10.96
7626897,6.2,6.4,8.3,7.188,11,13.45,11.145,8.524,9.36,14.08,12.84,9.135
7626898,12,12.6,16.4,7.488,13.687,17.15,12.086,11.472,12.74,12.54,11.8,9.92
7626900,13.2,8.4,5.6,8,10.94,16.25,12.154,12.416,14.42,13.86,12.96,7.58
7626904,6.6,13,10.75,10.654,11.897,13.75,14.713,9.58,8.92,13.06,12.22,11.2
7626905,9.4,8.8,11.4,8.328,12.985,12,8.403,11.216,12.17,13.08,12.36,9.72
7626906,8,6.8,10.5,12,10.876,13.85,12.225,10.16,10.32,12.86,12.42,9.675
7626907,5,6.6,10.3,10.308,10.727,10.7,12.311,11.32,8.5,13.12,12.56,8.655
7626909,8,10.4,12.8,13.388,13.481,14.05,11.086,8.704,13.3,13.94,13.76,8.53
7626912,8.2,9.4,11.7,8.06,12.17,14.3,12.235,12.232,10.78,14.54,12.96,8.235
7626913,6,8.4,10.9,11.118,13.946,13.9,12.287,10.24,10.2,11.9,12.68,6.645
7626914,3.2,8.8,13.15,10.512,8.656,10.7,9.621,10.152,8.8,13.14,11.68,10.415
7626915,9,5,9.2,11.28,10.493,12.5,9.763,9.712,11.03,11.86,11.36,6.965
7626939,13.4,9,9.55,12.44,12.084,17,12.604,12.284,12.79,12.86,11.52,8.565
7626944,8.8,10.2,14.9,8.26,9.834,11.4,11.417,12.512,13.3,12.88,13.52,10.415
7626946,7.2,6.6,10.15,9.248,8.019,13.4,7.775,10,13.6,13.16,12.56,8.725
7626948,6.8,7.6,12.4,9.31,12.887,11.45,13.248,9.28,8.8,13.54,12.96,9.665
7626949,5,8.8,12.4,7.704,12.249,12.55,11.105,9.354,10.92,12.96,11.72,9.935
7626950,6.4,15.2,9.1,7.32,11.432,13.55,11.674,10.952,12.6,12.08,11.04,8.865
7626954,8.2,5,6.6,7.06,10.311,13.9,9.202,8.312,8.94,12.68,9.36,8.365
7626957,8.6,7,12.4,8.112,12.49,12,8.126,6.64,7.82,13.28,13.28,8.8
7626958,7.8,5,9.6,8.472,9.132,11.15,7.674,10.448,9.22,12.5,11.18,7.12
7626959,5.4,8.2,7.45,12.42,10.592,13.65,11.218,11.944,11.04,12.64,12.96,7.93
7626962,10.2,15.4,14.5,10.588,11.925,16.9,12.97,11.456,13.42,11.98,13.6,11.54
7626963,6.4,7.4,12.7,9.36,12.825,13.6,13.449,10,10.64,15.38,14.04,7.315
7626964,10.4,9.8,9.8,11.272,11.894,13.45,9.096,11.988,12.17,13.74,13.2,10.21
7626965,8.4,12.2,12.65,10.54,12.252,13.8,11.41,12.592,12.72,14.3,13.72,10.23
7626966,5,7,10.15,9.08,11.534,11.95,7.779,10.256,7.24,13.34,13.08,7.2
7626967,5.4,2.6,9.45,10.156,8.654,10.9,7.568,9.708,7.52,12.6,12.44,6.83
7626968,6.8,5,9.15,9.68,8.214,12.35,9.789,7.504,5.91,13.92,14.08,7.54
7626971,5,4.8,7.7,11.052,7.027,10.35,11.235,8.44,7.82,12.64,14.24,5.415
7626972,4.2,8,5.9,7.86,9.982,8.7,8.829,10.176,8.8,12.84,12.64,7.58
7626973,6.2,7.8,10.35,8.304,10,9.2,9.588,9.248,7.68,13.04,12.85,7.6
7626974,4.2,5,11.1,9.858,11.464,11.1,11.819,10.32,5.56,14.58,13.08,7.67
7626975,5,6.4,11.6,10.108,11.405,13.05,15.367,11.088,12.32,15.2,13.52,8.655
7626977,7.4,12.4,14.4,9.8,11.849,14.3,11.938,11.32,9.34,13.56,11.26,7.735
7626978,6.8,8.8,10.6,8.9,11.154,13.05,12.486,10,11.2,12.84,11.93,9.08
7626979,5,8.6,10.05,9.272,12.646,11.35,13.046,9.744,12.58,14.28,13.24,11.35
7626982,5.6,5,8.35,6.948,9.245,11.15,10.03,11.72,8.81,13.88,14.08,7.66
7626983,9.8,8.2,5,7.628,9.622,10.35,10.766,12.056,9.48,13,12.36,8.48
7626985,9.8,11.8,13.5,9.644,13.059,15.25,14.501,9.948,13.3,12.34,12.44,9.555
7626986,6.6,6.4,7.95,8.02,11.288,11.05,12.545,10,10.78,12.94,13.53,7.59
7626988,6.2,10.8,11.4,6.792,11.928,10.6,10.248,9.848,11.04,11.9,11.76,10.625
7626989,8.8,2.6,6.35,6.74,7.134,11.25,5.888,9.784,6.26,14.86,14.04,5.685
7626990,12.8,9.6,14.8,9.4,13.644,13.95,12.356,13.02,12.88,12.76,11.6,8.565
7626991,3.6,5,4.3,6.492,8.814,10.4,10.203,11.256,7.4,13.04,6.52,5.965
7626993,15.2,8,15.25,10.286,13.793,18,12.132,12.856,12.18,12.16,13.56,11.815
7626994,6.2,7.6,5.5,8.68,12.052,14.6,10.552,11.816,10.64,12.88,11.92,9.045
7626996,5,7.2,6.35,7.484,11.259,6.55,9.862,10.92,6.28,13.52,13.28,7.045
7626997,6.4,8.6,13.2,10,13.447,12.15,9.37,11.436,12.45,13.16,11.78,9.295
7626998,9.2,14.8,14.25,12.818,14.267,14.95,13.895,10.448,12.28,14.36,14.68,9.64
7626999,9.2,6,10,10.472,8.857,11.4,9.915,11.888,7.54,12.36,12.92,9.155
7627020,8.2,5.8,7.95,10,9.555,15.9,10.373,7.812,10.15,12.44,10.81,7.89
7628582,9,8.4,13.15,8.228,12.706,13.85,12.812,11.256,11.46,12.92,12.36,7.315
7634129,5.6,5.4,9.5,10.22,10,11.7,14.029,12.208,8.5,12.74,12.92,6.94
7634131,13.2,10.2,11.7,9.264,13.136,9.35,9.297,12.448,11.6,12.16,11.36,9.17
7634688,14.6,13.2,9.65,6.6,10.406,11.35,10.861,11.18,8.5,11.3,10,8.64
7634734,6,7.6,12.6,10.6,12.071,16.35,15.733,13.616,14.58,12.32,10.56,12.94
7634749,10.6,7.4,7.5,7.92,8.342,12.05,11.33,11.712,10.92,14.26,13.12,8.01
7635752,10.2,9.6,13.9,6.12,12.126,10.6,12.42,12.92,16.54,12.04,9,10.73
7635756,8.4,5,8.05,7.16,10.225,11.7,8.565,10.704,9.92,11.68,11.24,8.58
7635769,3.8,2,2.55,8.94,9.374,6.6,6.273,8.24,5.05,13.72,13.24,5.29
7637278,6.4,9.6,6.9,9.56,10.743,15.45,10,7.976,11.46,12.54,10.56,6.96
7637352,9.4,11.2,13,12.64,14.984,14.8,14.04,11.756,15.26,13.56,15.28,9.22
7637356,7.4,12,13.15,10.49,12.592,15.95,12.713,11.688,14.42,12.6,12.5,9.28
7637566,5,10.2,11.5,8.85,13.434,15.75,12.811,13.456,13.74,13.24,14.2,8.715
7637567,10.4,13.2,16,10.82,15.759,15.35,16.063,12.416,16.89,14.4,14.04,11.675
7639383,6,12.2,15.3,11.704,11.659,16.05,13.881,11.992,15.14,13.12,12.68,11.68
7639385,2.4,3.8,7.2,9.604,8.145,9.25,7.098,9.944,7.14,12.54,13.26,7.74
7640610,5.4,13.6,12.9,13.68,11.619,5.1,6.109,7.718,7.68,10.94,12.92,8.43
7640817,5,2.4,6.25,8.272,8.147,5.1,5,9.79,6.84,11.24,11.68,6.87
