Code individue,Annee,Nom,Nature,NOTE,Barem
7626758,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,8.937,20
7626763,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.072,20
7626764,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.467,20
7626765,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.294,20
7626766,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.79,20
7626767,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.318,20
7626768,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.639,20
7626769,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.377,20
7626770,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.123,20
7626771,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.37,20
7626772,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.339,20
7626773,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.468,20
7626774,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.076,20
7626776,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.645,20
7626780,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.305,20
7626781,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.543,20
7626782,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,14.992,20
7626784,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.743,20
7626785,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,15.035,20
7626790,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.495,20
7626793,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.55,20
7626794,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.812,20
7626795,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.927,20
7626799,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.486,20
7626814,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.692,20
7626827,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.805,20
7626830,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,10.614,20
7626831,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,14.688,20
7626837,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.117,20
7626848,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.929,20
7626849,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.111,20
7626852,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.608,20
7626853,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.392,20
7626854,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.883,20
7626855,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.413,20
7626856,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.243,20
7626857,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.336,20
7626859,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.994,20
7626860,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.447,20
7626863,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,10.159,20
7626864,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.466,20
7626869,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.595,20
7626871,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.662,20
7626872,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.941,20
7626882,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.971,20
7626883,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,15.508,20
7626884,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,15.4,20
7626886,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.632,20
7626887,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.548,20
7626891,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.804,20
7626893,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.356,20
7626895,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.368,20
7626897,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.378,20
7626898,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.151,20
7626900,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.628,20
7626904,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.732,20
7626905,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.507,20
7626906,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.51,20
7626907,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.298,20
7626909,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.786,20
7626912,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.278,20
7626913,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.242,20
7626915,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.377,20
7626939,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.029,20
7626944,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.147,20
7626948,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,14.196,20
7626949,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.949,20
7626950,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.661,20
7626954,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.397,20
7626957,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.45,20
7626959,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.952,20
7626962,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.875,20
7626963,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.145,20
7626964,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,11.797,20
7626965,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.424,20
7626966,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,9.339,20
7626968,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,10.917,20
7626973,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,8.728,20
7626975,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,8.599,20
7626977,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.268,20
7626978,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.161,20
7626979,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.756,20
7626982,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.067,20
7626983,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,14.578,20
7626985,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.221,20
7626986,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.303,20
7626988,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,14.529,20
7626990,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.982,20
7626993,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,14.283,20
7626994,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.075,20
7626996,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.437,20
7626997,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,11.838,20
7626998,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,14.009,20
7626999,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.705,20
7628582,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.586,20
7628705,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.387,20
7629201,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.627,20
7632024,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,8.522,20
7633356,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,10.696,20
7634131,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.062,20
7634688,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.512,20
7634734,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.91,20
7634749,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.445,20
7635752,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,10.577,20
7635756,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.707,20
7637352,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.637,20
7637356,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.38,20
7637566,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,14.006,20
7637567,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,14.605,20
7639383,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.258,20
7640610,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.855,20
7641314,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.396,20
7641376,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.863,20
7641377,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.261,20
7654322,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,10.933,20
7654358,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,11.319,20
7655189,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,11.034,20
7655193,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.16,20
7655202,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.428,20
7655335,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.11,20
7655350,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.905,20
7678249,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.091,20
7678289,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,11.117,20
7679735,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.002,20
7680001,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,10.585,20
7680007,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,9.951,20
7680013,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.717,20
7680020,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.003,20
7680045,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.242,20
7680048,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,10.986,20
7680052,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,10.891,20
7680064,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,9.419,20
7680079,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.406,20
7680084,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.137,20
7680087,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,14.062,20
7680088,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,14.355,20
7680173,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,10.234,20
7680179,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,7.483,20
7680195,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,9.134,20
7680199,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.003,20
7680259,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.316,20
7680272,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.708,20
7680336,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,11.295,20
7680337,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,11.035,20
7680704,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.328,20
7680706,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.191,20
7680709,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,9.535,20
7680712,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.704,20
7680725,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.958,20
7680726,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,10.902,20
7680739,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.316,20
7680745,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.264,20
7680757,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.796,20
7680794,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.307,20
7680795,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.461,20
7680804,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.994,20
7681185,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.407,20
7681186,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.656,20
7681187,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,10.83,20
7681188,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.474,20
7681189,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,10.984,20
7681190,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.568,20
7681192,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,14.611,20
7681463,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,9.993,20
7681479,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.579,20
7681480,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,11.398,20
7681481,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.137,20
7681482,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.056,20
7681483,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.174,20
7681484,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.048,20
7681485,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.609,20
7681486,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.213,20
